match_number,group,date,team_a,team_b,team_a_goals,team_b_goals,status,source,updated_at,notes,advanced_team
87,R32,,,,,,scheduled,template,,,
88,R32,,,,,,scheduled,template,,,
89,R16,,,,,,scheduled,template,,,
90,R16,,,,,,scheduled,template,,,
91,R16,,,,,,scheduled,template,,,
92,R16,,,,,,scheduled,template,,,
93,R16,,,,,,scheduled,template,,,
94,R16,,,,,,scheduled,template,,,
95,R16,,,,,,scheduled,template,,,
96,R16,,,,,,scheduled,template,,,
97,QF,,,,,,scheduled,template,,,
98,QF,,,,,,scheduled,template,,,
99,QF,,,,,,scheduled,template,,,
100,QF,,,,,,scheduled,template,,,
101,SF,,,,,,scheduled,template,,,
102,SF,,,,,,scheduled,template,,,
103,Third-place,,,,,,scheduled,template,,,
104,Final,,,,,,scheduled,template,,,
