match_number,team_a_source,team_b_source,team_a_source_type,team_b_source_type,team_a_group,team_a_position,team_b_group_options,team_b_position,source,confidence,notes,mapping_section,round,winner_to_match,loser_to_match_if_applicable,option_number,qualified_third_groups,slot_1A,slot_1B,slot_1D,slot_1E,slot_1G,slot_1I,slot_1K,slot_1L
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,20.0,"C,D,F,G,I,J,K,L",3C,3G,3I,3D,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,21.0,"C,D,F,G,H,J,K,L",3C,3G,3J,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,22.0,"C,D,F,G,H,I,K,L",3C,3G,3I,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,23.0,"C,D,F,G,H,I,J,L",3C,3G,3J,3D,3H,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,24.0,"C,D,F,G,H,I,J,K",3C,3G,3J,3D,3H,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,25.0,"C,D,E,H,I,J,K,L",3E,3J,3I,3C,3H,3D,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,26.0,"C,D,E,G,I,J,K,L",3E,3G,3I,3C,3J,3D,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,27.0,"C,D,E,G,H,J,K,L",3E,3G,3J,3C,3H,3D,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,28.0,"C,D,E,G,H,I,K,L",3E,3G,3I,3C,3H,3D,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,29.0,"C,D,E,G,H,I,J,L",3E,3G,3J,3C,3H,3D,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,30.0,"C,D,E,G,H,I,J,K",3E,3G,3J,3C,3H,3D,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,31.0,"C,D,E,F,I,J,K,L",3C,3J,3E,3D,3I,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,32.0,"C,D,E,F,H,J,K,L",3C,3J,3E,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,33.0,"C,D,E,F,H,I,K,L",3C,3E,3I,3D,3H,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,34.0,"C,D,E,F,H,I,J,L",3C,3J,3E,3D,3H,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,35.0,"C,D,E,F,H,I,J,K",3C,3J,3E,3D,3H,3F,3I,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,36.0,"C,D,E,F,G,J,K,L",3C,3G,3E,3D,3J,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,37.0,"C,D,E,F,G,I,K,L",3C,3G,3E,3D,3I,3F,3L,3K
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,38.0,"C,D,E,F,G,I,J,L",3C,3G,3E,3D,3J,3F,3L,3I
,,,,,,,,,"FIFA World Cup 26 Regulations, Articles 12.6-12.11 and Annexe C",,Extracted from Annexe C text table.,annex_c,,,,39.0,"C,D,E,F,G,I,J,K",3C,3G,3E,3D,3J,3F,3I,3K
